mean_review_score_parameters,ratio,days_since_host,cooking basics,dishes and silverware,essentials,hair dryer,hangers,hot water,kitchen,refrigerator,smoke alarm,wifi,host_response_time,room_type,host_has_profile_pic,host_is_superhost,host_identity_verified,has_availability,instant_bookable,price,neighbourhood_cleansed,host_response_rate,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,beds,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,bathrooms
4.86,12.125,4570.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,True,118.0,Le Plateau-Mont-Royal,1.0,0.98,3.0,45.51884,-73.59048,2.0,1.0,1.0,1125.0,0.0,0.0,838.0,6.13,1.0
4.885000000000001,4.0,4159.0,0,1,1,1,1,1,1,0,1,1,within an hour,Entire home/apt,True,True,True,True,False,90.0,Rosemont-La Petite-Patrie,1.0,1.0,3.0,45.57466,-73.57275,2.0,1.0,31.0,1125.0,0.0,306.0,33.0,0.24,1.0
4.876666666666666,0.0,4329.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,False,True,True,False,105.0,Ahuntsic-Cartierville,1.0,1.0,5.0,45.54959,-73.66735,4.0,3.0,33.0,1125.0,0.0,19.0,8.0,0.08,1.0
4.7716666666666665,0.0,4148.0,0,1,0,0,1,0,1,1,0,1,within a few hours,Entire home/apt,True,True,True,True,False,85.0,Le Plateau-Mont-Royal,1.0,0.55,7.0,45.52408,-73.59696,4.0,2.0,31.0,1125.0,23.0,327.0,31.0,0.23,1.0
4.819999999999999,0.0,4141.0,0,0,0,0,0,0,0,0,0,0,,Entire home/apt,True,False,False,True,False,50.0,Mercier-Hochelaga-Maisonneuve,1.0,0.0,1.0,45.54727,-73.53482,4.0,1.0,360.0,1125.0,0.0,0.0,0.0,1.13,1.0
4.976666666666667,0.0,4126.0,1,1,1,1,1,1,1,1,1,1,within a day,Entire home/apt,True,False,True,True,False,43.0,Ville-Marie,1.0,0.99,1.0,45.51602,-73.56676,2.0,1.0,31.0,91.0,0.0,53.0,7.0,0.11,1.0
4.873333333333334,0.0,4118.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,True,True,False,115.0,Le Plateau-Mont-Royal,1.0,0.0,1.0,45.51579,-73.57833,4.0,2.0,32.0,1125.0,30.0,364.0,252.0,1.86,1.0
4.716666666666667,0.0,4453.0,1,1,1,1,1,1,1,0,1,1,within an hour,Entire home/apt,True,True,True,True,False,75.0,Saint-Laurent,1.0,1.0,5.0,45.52597,-73.68104,4.0,2.0,31.0,1125.0,0.0,214.0,89.0,0.7,1.0
4.9816666666666665,0.0,4106.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,False,True,True,False,168.0,Outremont,1.0,1.0,1.0,45.51811,-73.59867,4.0,2.0,32.0,1125.0,0.0,178.0,68.0,0.51,1.0
4.726666666666667,0.0,4104.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,True,True,False,False,180.0,Ahuntsic-Cartierville,1.0,0.75,2.0,45.54842,-73.66532,8.0,6.0,31.0,1125.0,0.0,0.0,17.0,0.16,3.0
4.808333333333334,0.0,4096.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,False,False,95.0,Mercier-Hochelaga-Maisonneuve,1.0,0.97,2.0,45.54253,-73.54261,6.0,4.0,31.0,100.0,0.0,0.0,23.0,0.18,2.0
4.823333333333333,0.0,4093.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,100.0,Le Plateau-Mont-Royal,1.0,1.0,4.0,45.5243,-73.59238,3.0,2.0,31.0,1125.0,0.0,334.0,148.0,1.15,1.0
4.8500000000000005,0.0,4093.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,125.0,Le Plateau-Mont-Royal,1.0,1.0,4.0,45.5241,-73.59248,2.0,1.0,15.0,1125.0,20.0,253.0,37.0,0.28,1.0
4.953333333333333,6.0,4336.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,True,True,True,False,256.0,Ville-Marie,0.86,1.0,5.0,45.50444,-73.55426,6.0,2.0,31.0,730.0,30.0,179.0,144.0,1.48,1.0
4.95,0.0,4084.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,120.0,Ville-Marie,1.0,0.9,3.0,45.5202,-73.56335,2.0,1.0,28.0,1000.0,8.0,46.0,73.0,0.58,1.0
4.833333333333333,0.0,4131.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,True,True,False,150.0,Ahuntsic-Cartierville,1.0,0.99,2.0,45.54117,-73.67114,5.0,3.0,31.0,35.0,0.0,62.0,1.0,0.01,2.0
